FactionID,Name,KnessetNum,StartDate,EndDate,IsCurrent,NumberOfMembers,StatusID,StatusDesc,LastUpdatedDate
3,ישראל אחת,15,1999-06-07T00:00:00,,False,,,,2019-01-24T11:45:06.46
4,הליכוד,15,1999-06-07T00:00:00,,False,,,,2019-01-24T11:45:06.46
5,"ש""ס",15,1999-06-07T00:00:00,,False,,,,2019-01-24T11:45:06.46
6,מרצ,15,1999-06-07T00:00:00,,False,,,,2019-01-24T11:45:06.46
7,האיחוד הלאומי - ישראל ביתנו,15,2000-02-01T00:00:00,,False,,,,2022-01-23T15:10:00
8,שינוי,15,1999-06-07T00:00:00,,False,,,,2019-01-24T11:45:06.46
9,מפלגה דתית לאומית,15,1999-06-07T00:00:00,,False,,,,2022-01-23T15:10:00
10,יהדות התורה,15,1999-06-07T00:00:00,,False,,,,2019-01-24T11:45:06.46
11,ישראל בעלייה,15,1999-06-07T00:00:00,,False,,,,2022-08-09T13:35:00
12,גשר,15,2001-03-07T00:00:00,,False,,,,2019-01-24T11:45:06.46
13,דרך חדשה,15,2001-03-06T00:00:00,,False,,,,2019-01-24T11:45:06.46
14,"חד""ש",15,1999-06-07T00:00:00,,False,,,,2019-01-24T11:45:06.46
15,מפלגת המרכז,15,1999-06-07T00:00:00,,False,,,,2019-01-24T11:45:06.46
16,"רע""ם",15,1999-06-07T00:00:00,,False,,,,2019-01-24T11:45:06.46
17,הבחירה הדמוקרטית,15,1999-10-18T00:00:00,,False,,,,2022-01-23T15:10:00
18,מפלגה לאומית ערבית,15,2001-02-19T00:00:00,,False,,,,2019-01-24T11:45:06.46
19,עם אחד,15,1999-06-07T00:00:00,,False,,,,2019-01-24T11:45:06.46
20,"בל""ד",15,1999-06-07T00:00:00,,False,,,,2019-01-24T11:45:06.46
21,חרות - התנועה הלאומית,15,2000-02-01T00:00:00,,False,,,,2019-01-24T11:45:06.46
22,התנועה הערבית להתחדשות,15,1999-12-21T00:00:00,,False,,,,2022-01-23T15:10:00
23,העבודה - מימד,15,2001-05-15T00:00:00,,False,,,,2022-01-23T15:10:00
24,הליכוד,16,2003-02-17T00:00:00,,False,,,,2019-01-24T11:45:06.46
42,העבודה-מימד בראשות מצנע,16,2003-02-17T00:00:00,,False,,,,2019-01-24T11:45:06.46
43,שינוי התנועה החילונית,16,2003-02-17T00:00:00,,False,,,,2019-01-24T11:45:06.46
